familyRoot	canonicalBrainrot	speciesKey	generatedName	stageLabel	characterDescription	cardDescription
eevee	Gangster Footera	jolteon	electric footera	branch-final	The electric branch: a sharp charged Footera with the same cap, hood, slit eyes, and giant sneaker-foot, but now edged with yellow sparks, wired laces, and a tense street-punk posture.	Another route turned the step into a live wire.
eevee	Gangster Footera	flareon	fire footera	branch-final	The fire branch: a heated Footera that keeps the gangster hood, cap, and giant sneaker-foot, but swells into ember fur, hot orange trim, and a swaggering flame-lined body.	The fire route made every footstep feel like a threat and a flex.
porygon	Frigo Camelo	porygon	techi camelo	solo	A digital Frigo Camelo with a simplified camel-fridge head and clean geometric appliance body.	Even as code, the camel remembered the freezer.
omanyte	Ho Ho Ho Sahur	omanyte	sahur aquana	base	A small shelled fossil built from the Santa pole-man idea, packing the neutral face, a little white beard, and cane posture into a curled aquatic shell with very little ornament yet.	It sounded like a holiday knock echoing from prehistory.
omanyte	Ho Ho Ho Sahur	omastar	sahur aquana max	final	A larger fossil knight that keeps the neutral face, closed mouth, full white beard, and pole-with-cane posture while the shell opens into a spiked armored crown.	It rose from stone still dressed for winter.
kabuto	Blueberrinni Octopusini	kabuto	octo drago	base	A shelled Blueberrinni with the berry crown and bright eyes compressed into a tiny prehistoric dome with no long cutting limbs yet.	It looked like a fossilized snack until it blinked.
kabuto	Blueberrinni Octopusini	kabutops	octo drago prime	final	A blade-armed Blueberrinni that keeps the berry head while the tentacles harden into ancient scythes and the body opens into a full prehistoric hunter.	The fruit survived the ages and came back meaner.
aerodactyl	Los Crocodillitos	aerodactyl	croco techi	solo	A flying Crocodillitos terror with the croc snout, toothy grin, and a lean prehistoric jet frame.	It crossed the sky like the missing link between a laugh and a disaster.
snorlax	Boppin Bunny	snorlax	tung bunny max	solo	A huge Boppin Bunny lump with the glasses, bow, ears, and a massively relaxed plush body.	All the bunny's charm settled into one legendary nap.
articuno	Elefanto Frigo	articuno	frigo cosmi	solo	A sacred Elefanto Frigo bird with the elephant-fridge face translated into elegant icy wings and a regal cold core.	It flew like the freezer door of heaven had finally opened.
zapdos	Brr Brr Patapim	zapdos	brr pegasi	solo	A storm-god form of the long-nosed proboscis monkey, with streaming grey hair, leafy robe cues, and a winged lightning body.	Patapim took the clouds for a robe and the thunder for punctuation.
moltres	Bombardini Tortinii	moltres	rizz bomba	solo	A fiery Bombardini with the tortilla face mounted on a blazing warplane-bird silhouette, trailing smoke and heat.	It did not sing; it made bombing runs through the sunset.
dratini	Ho Ho Ho Sahur	dratini	sahur drago	base	A tiny dragon version of the Santa pole-man, with a simple pole-like body, plain face, closed mouth, and only the first trace of white beard and red suit trim.	The first sahur dragon looked harmless, which was its funniest lie.
dratini	Ho Ho Ho Sahur	dragonair	sahur drago plus	mid	A sleeker dragon that keeps the neutral face, closed mouth, white beard, and cane-like pole rhythm while growing more elegant and serpentine.	It stretched the old knock into a hymn.
dratini	Ho Ho Ho Sahur	dragonite	sahur drago boss	final	A full dragon champion built from the Santa pole-man, with the plain face, closed mouth, white wiggly beard, cane-body cues, and heroic red-coated mass.	At full scale it sounded less like dawn and more like legend.
mewtwo	Carrotini Brainini	mewtwo	braini telepi	solo	A supreme Carrotini Brainini with exposed brain forms, carrot snout lines, and a cold engineered psychic body.	It thought so hard the garden forgot whether to grow or kneel.
mew	Telemorte	mew	telemo telepi boss	solo	A tiny playful demon CRT with the red face in the screen, brown noise casing, heart-shaped horn antennae, a tail, and an impish floating body kept cute.	A sweet little screen-devil smiled from the static as if innocence were just another filter.
